,1,2,3,4,5
0,7.0,3.0,1.0,6.0,11.0
1,1.0,44.0,1.0,2.0,1.0
2,21.0,1.0,1.0,3.0,4.0
3,2.0,1.0,10.0,1.0,1.0
4,2.0,2.0,1.0,1.0,1.0
5,13.0,8.0,2.0,21.0,7.0
6,1.0,1.0,1.0,1.0,5.0
7,3.0,6.0,6.0,1.0,22.0
8,2.0,1.0,3.0,7.0,6.0
9,30.0,1.0,1.0,1.0,1.0
10,2.0,1.0,1.0,2.0,1.0
11,1.0,1.0,2.0,1.0,3.0
12,2.0,1.0,1.0,14.0,3.0
13,1.0,5.0,1.0,1.0,1.0
14,4.0,3.0,2.0,1.0,3.0
15,1.0,1.0,1.0,5.0,1.0
16,1.0,1.0,4.0,3.0,1.0
17,3.0,1.0,2.0,1.0,1.0
18,1.0,2.0,3.0,32.0,1.0
19,4.0,1.0,1.0,6.0,2.0
20,1.0,1.0,1.0,1.0,19.0
21,3.0,1.0,1.0,1.0,1.0
22,3.0,1.0,2.0,1.0,1.0
23,2.0,1.0,4.0,3.0,1.0
24,4.0,1.0,47.0,1.0,1.0
25,9.0,3.0,1.0,2.0,1.0
26,1.0,1.0,22.0,4.0,1.0
27,1.0,1.0,17.0,5.0,1.0
28,7.0,1.0,2.0,10.0,7.0
29,20.0,1.0,3.0,1.0,1.0
30,1.0,14.0,10.0,1.0,1.0
31,2.0,1.0,4.0,1.0,6.0
32,1.0,1.0,1.0,4.0,2.0
33,1.0,5.0,2.0,4.0,3.0
34,1.0,5.0,42.0,1.0,2.0
35,1.0,2.0,1.0,1.0,1.0
36,5.0,6.0,8.0,1.0,1.0
37,2.0,1.0,2.0,1.0,30.0
38,1.0,1.0,17.0,14.0,1.0
39,19.0,2.0,5.0,2.0,2.0
40,1.0,14.0,1.0,1.0,1.0
41,3.0,13.0,1.0,1.0,29.0
42,1.0,1.0,2.0,7.0,1.0
43,6.0,3.0,1.0,1.0,2.0
44,1.0,1.0,1.0,3.0,8.0
45,1.0,1.0,1.0,1.0,9.0
46,1.0,1.0,1.0,9.0,1.0
47,1.0,2.0,3.0,1.0,12.0
48,1.0,1.0,1.0,1.0,1.0
49,3.0,1.0,1.0,1.0,5.0
50,1.0,3.0,3.0,1.0,1.0
51,5.0,1.0,1.0,2.0,2.0
52,2.0,1.0,2.0,2.0,1.0
53,1.0,1.0,40.0,2.0,1.0
54,1.0,64.0,1.0,6.0,6.0
55,1.0,3.0,7.0,4.0,2.0
56,2.0,14.0,1.0,26.0,1.0
57,1.0,1.0,2.0,1.0,4.0
58,2.0,1.0,1.0,1.0,1.0
59,1.0,44.0,9.0,1.0,1.0
60,4.0,13.0,1.0,1.0,2.0
61,3.0,18.0,1.0,1.0,1.0
62,3.0,14.0,5.0,13.0,1.0
63,11.0,2.0,10.0,4.0,12.0
64,1.0,5.0,1.0,2.0,12.0
65,1.0,1.0,1.0,1.0,1.0
66,9.0,10.0,3.0,1.0,4.0
67,7.0,1.0,3.0,11.0,2.0
68,1.0,2.0,1.0,3.0,1.0
69,16.0,1.0,1.0,8.0,2.0
70,1.0,1.0,1.0,1.0,17.0
71,1.0,4.0,40.0,2.0,1.0
72,1.0,1.0,2.0,14.0,13.0
73,1.0,2.0,1.0,1.0,2.0
74,3.0,1.0,6.0,1.0,1.0
75,12.0,1.0,1.0,1.0,4.0
76,9.0,2.0,1.0,1.0,1.0
77,1.0,7.0,1.0,1.0,4.0
78,4.0,2.0,6.0,2.0,1.0
79,1.0,2.0,1.0,1.0,2.0
80,2.0,1.0,5.0,26.0,1.0
81,2.0,1.0,4.0,3.0,1.0
82,1.0,1.0,2.0,2.0,1.0
83,2.0,3.0,1.0,4.0,5.0
84,1.0,2.0,1.0,1.0,1.0
85,4.0,1.0,2.0,1.0,1.0
86,16.0,11.0,2.0,12.0,1.0
87,1.0,1.0,2.0,1.0,4.0
88,1.0,1.0,1.0,9.0,2.0
89,2.0,1.0,1.0,1.0,4.0
90,2.0,1.0,1.0,1.0,1.0
91,1.0,4.0,2.0,4.0,1.0
92,1.0,1.0,1.0,1.0,1.0
93,10.0,7.0,1.0,1.0,3.0
94,3.0,11.0,1.0,3.0,1.0
95,2.0,6.0,5.0,1.0,2.0
96,3.0,17.0,4.0,1.0,8.0
97,1.0,9.0,1.0,1.0,2.0
98,1.0,2.0,11.0,1.0,2.0
99,1.0,14.0,1.0,12.0,1.0
100,6.0,1.0,1.0,1.0,1.0
101,9.0,2.0,1.0,12.0,3.0
102,1.0,19.0,1.0,4.0,1.0
103,1.0,3.0,1.0,1.0,2.0
104,1.0,1.0,24.0,17.0,1.0
105,5.0,1.0,1.0,1.0,1.0
106,1.0,1.0,1.0,2.0,1.0
107,1.0,9.0,14.0,1.0,1.0
108,1.0,2.0,1.0,1.0,4.0
109,10.0,9.0,7.0,4.0,2.0
110,38.0,1.0,8.0,8.0,4.0
111,1.0,6.0,1.0,1.0,1.0
112,1.0,2.0,2.0,2.0,3.0
113,1.0,7.0,1.0,1.0,1.0
114,1.0,3.0,1.0,1.0,1.0
115,1.0,8.0,1.0,1.0,1.0
116,1.0,2.0,1.0,2.0,9.0
117,1.0,1.0,2.0,2.0,9.0
118,2.0,3.0,3.0,1.0,6.0
119,1.0,2.0,3.0,1.0,1.0
120,4.0,1.0,8.0,1.0,1.0
121,1.0,15.0,1.0,1.0,1.0
122,1.0,1.0,1.0,14.0,1.0
123,1.0,1.0,2.0,1.0,1.0
124,18.0,1.0,4.0,1.0,3.0
125,5.0,1.0,1.0,16.0,2.0
126,2.0,1.0,1.0,2.0,2.0
127,2.0,1.0,4.0,1.0,6.0
128,1.0,3.0,3.0,6.0,2.0
129,30.0,1.0,1.0,2.0,15.0
130,29.0,2.0,1.0,1.0,8.0
131,1.0,5.0,4.0,4.0,2.0
132,1.0,9.0,11.0,5.0,6.0
133,1.0,2.0,1.0,1.0,1.0
134,1.0,2.0,9.0,5.0,1.0
135,2.0,1.0,1.0,3.0,1.0
136,3.0,22.0,1.0,1.0,1.0
137,2.0,1.0,4.0,1.0,1.0
138,1.0,1.0,1.0,2.0,1.0
139,1.0,1.0,1.0,1.0,8.0
140,6.0,1.0,2.0,6.0,1.0
141,6.0,8.0,1.0,1.0,1.0
142,1.0,1.0,1.0,1.0,1.0
143,1.0,6.0,1.0,1.0,34.0
144,3.0,1.0,8.0,2.0,2.0
145,5.0,1.0,46.0,1.0,1.0
146,3.0,1.0,5.0,1.0,10.0
147,2.0,2.0,3.0,1.0,3.0
148,2.0,1.0,1.0,3.0,3.0
149,3.0,10.0,7.0,7.0,15.0
150,2.0,5.0,8.0,1.0,1.0
151,1.0,11.0,25.0,1.0,1.0
152,1.0,1.0,6.0,1.0,1.0
153,2.0,1.0,1.0,1.0,6.0
154,4.0,2.0,1.0,1.0,1.0
155,1.0,2.0,23.0,1.0,1.0
