Date;P;D;E
1871-01;91.25795641;5.343934384;8.221437514
1871-02;89.75070586;5.185596339;7.977840521
1871-03;90.60207966;5.10987868;7.861351815
1871-04;96.68582136;5.303441678;8.159141043
1871-05;101.4388129;5.426767766;8.348873487
1871-06;102.1885685;5.512246434;8.48037913
1871-07;100.2804832;5.512246434;8.48037913
1871-08;103.1770211;5.600422859;8.616035168
1871-09;101.8107614;5.46917313;8.414112508
1871-10;95.06684751;5.385050186;8.284692593
1871-11;96.10243408;5.385050186;8.284692593
1871-12;95.95871141;5.26355801;8.097781553
1872-01;98.38804587;5.330364707;8.148392688
1872-02;98.79293495;5.399195851;8.199003823
1872-03;100.5207906;5.385042352;8.127425031
1872-04;101.066642;5.332338468;7.999483248
1872-05;101.066642;5.398675646;8.048260585
1872-06;100.821837;5.50294627;8.156152508
1872-07;101.7174666;5.650305549;8.326871044
1872-08;99.78151443;5.676063529;8.315126203
1872-09;97.28422871;5.699480066;8.303552854
1872-10;99.86455988;5.893415576;8.539725946
1872-11;96.57912702;5.788894341;8.340924607
1872-12;100.375452;5.939375859;8.513105398
1873-01;101.1673688;5.988870658;8.562600197
1873-02;99.75889164;5.908050864;8.426236478
1873-03;98.98406529;5.95647751;8.474663125
1873-04;97.62811919;6.004904157;8.523089771
1873-05;99.97949363;6.186849853;8.760579392
1873-06;101.581306;6.425323572;9.077044411
1873-07;101.3773275;6.476318203;9.128039042
1873-08;101.3773275;6.527312835;9.179033674
1873-09;93.62614347;6.578307466;9.230028305
1873-10;87.45444978;6.783459708;9.496843591
1873-11;87.02195519;7.054378794;9.854590223
1873-12;92.97594322;6.941642819;9.676229385
1874-01;96.51666871;6.834871389;9.527396482
1874-02;99.41631112;6.834871389;9.527396482
1874-03;97.96648991;6.834871389;9.527396482
1874-04;96.76229385;6.941642819;9.676229385
1874-05;94.98024625;6.996312782;9.752435999
1874-06;96.84369992;7.165565241;9.988363669
1874-07;96.06879212;7.108229013;9.908440443
1874-08;97.06083826;7.165565241;9.988363669
1874-09;98.58080665;7.165565241;9.988363669
1874-10;99.97652501;7.283058113;10.15214161
1874-11;101.6923286;7.343209721;10.23598931
1874-12;101.024764;7.343209721;10.23598931
1875-01;101.024764;7.287579344;10.05129646
1875-02;100.8022425;7.231948968;9.864378392
1875-03;102.1373716;7.176318591;9.679685541
1875-04;102.6249098;7.062359382;9.417214839
1875-05;101.1391765;7.183822939;9.464545308
1875-06;100.7965066;7.24906383;9.43528943
1875-07;101.0266356;7.191531578;9.244282351
1875-08;100.6273874;7.073580518;8.974320057
1875-09;100.5663776;7.076467072;8.859966904
1875-10;98.95547451;7.01893482;8.668959825
1875-11;101.4335072;7.021426983;8.548732423
1875-12;102.3157205;7.023962504;8.428755005
1876-01;105.3390912;7.085589093;8.344462088
1876-02;106.756209;7.085589093;8.188579128
1876-03;106.5200227;7.085589093;8.030334305
1876-04;103.4113905;7.1482528;7.941708861
1876-05;103.2539621;7.410571446;8.070112305
1876-06;105.4148193;7.620348386;8.128371611
1876-07;104.1447613;7.620348386;7.958183831
1876-08;98.89341233;7.549115445;7.717712357
1876-09;91.9941835;7.47920191;7.47920191
1876-10;89.83237465;7.343245884;7.179246726
1876-11;87.32492181;7.277076817;6.954459745
1876-12;85.30248341;7.1482528;6.671702613
1877-01;83.11688963;6.808560987;6.595500791
1877-02;80.29459736;6.772152119;6.810616596
1877-03;79.76898654;6.857113196;7.171659673
1877-04;71.96380966;6.444922138;7.017695317
1877-05;70.67847792;6.111043907;6.93081809
1877-06;69.34517031;6.223284515;7.366336773
1877-07;71.71659673;5.93360474;7.340256584
1877-08;79.72987883;5.926151977;7.667138839
1877-09;85.5271908;5.741408642;7.787197928
1877-10;87.37500048;5.498553655;7.832073306
1877-11;87.77585823;5.36348189;8.03176028
1877-12;87.50660714;5.115770879;8.077532966
1878-01;90.21356706;5.251817504;8.349612607
1878-02;89.18939487;5.281246243;8.461773721
1878-03;92.8060677;5.37072151;8.664764037
1878-04;96.4098645;5.405321833;8.781114686
1878-05;99.92245251;5.558560382;9.100721573
1878-06;104.3346797;5.660385849;9.331987481
1878-07;105.2808494;5.57262427;9.251403376
1878-08;103.2133117;5.483768127;9.175513827
1878-09;105.3074949;5.459834605;9.199447349
1878-10;105.2808494;5.496991476;9.32703617
1878-11;106.1704805;5.531879792;9.460493538
1878-12;108.0139071;5.635508197;9.70559745
1879-01;110.7954099;5.623331277;9.77351688
1879-02;113.5136838;5.608371493;9.842952042
1879-03;112.9618005;5.725461124;10.13561361
1879-04;118.0325883;5.845274335;10.43508268
1879-05;123.3550128;5.895367742;10.61980211
1879-06;125.4395867;6.01856603;10.92844884
1879-07;126.4858506;6.00181623;10.98297931
1879-08;127.425102;6.051909636;11.16769874
1879-09;127.6681565;5.899357941;10.96675515
1879-10;134.0532089;5.634244913;10.54952924
1879-11;134.0818845;5.393192231;10.1771686
1879-12;129.8746231;5.279456222;10.03096682
1880-01;131.0353223;5.256798645;9.980224549
1880-02;133.3431851;5.385013246;10.21357512
1880-03;134.6261548;5.461249676;10.35097322
1880-04;136.7379162;5.807401844;10.99974704
1880-05;129.7303426;6.119355784;11.58054086
1880-06;132.9609188;6.384344746;12.07473898
1880-07;139.0676834;6.523134849;12.33011277
1880-08;144.0641271;6.661924952;12.58271075
1880-09;142.3190314;6.731305537;12.70705637
1880-10;146.4402388;6.86867912;12.95982376
1880-11;152.5759375;6.935269889;13.07638338
1880-12;157.2426417;7.000528571;13.19330384
1881-01;168.3502769;7.207241257;13.21236907
1881-02;166.127928;7.26977967;12.96982543
1881-03;168.0126857;7.404405219;12.85673997
1881-04;165.8170854;7.464434712;12.61756053
1881-05;175.0132143;7.673656318;12.63326156
1881-06;177.1672231;7.808281867;12.5201761
1881-07;169.2827158;7.864315143;12.28432684
1881-08;162.073852;7.842283163;11.93856907
1881-09;157.2732384;7.674934036;11.38658246
1881-10;153.3236392;7.728508641;11.17642072
1881-11;155.7634153;7.926571217;11.1777236
1881-12;151.2339461;8.052389808;11.07203599
1882-01;148.9692114;8.052389808;11.05190501
1882-02;144.3485969;7.977815371;10.92711399
1882-03;144.0992901;7.977815371;10.90716945
1882-04;142.7770099;7.904609543;10.78732184
1882-05;139.7664467;7.83279561;10.66728852
1882-06;137.7793211;7.762215272;10.55176138
1882-07;146.8649177;7.83279561;10.62812454
1882-08;149.9077824;7.762215272;10.51052462
