yyyymm;Index;D12;E12;b/m;tbl;AAA;BAA;lty;ntis;Rfree;infl;ltr;corpr;svar;csp;CRSP_SPvw;CRSP_SPvwx
187101;4.44;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.004955125;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187102;4.5;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.004514458;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187103;4.61;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.004242616;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187104;4.74;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.004631988;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187105;4.86;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.00369136;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187106;4.82;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.003367814;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187107;4.73;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.003250135;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187108;4.79;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.003706064;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187109;4.84;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.004543841;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187110;4.59;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.007016334;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187111;4.64;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.006466605;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187112;4.74;0.26;0.4;NaN;NaN;NaN;NaN;NaN;NaN;0.006950382;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187201;4.86;0.2633;0.4025;NaN;NaN;NaN;NaN;NaN;NaN;0.005747836;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187202;4.88;0.2667;0.405;NaN;NaN;NaN;NaN;NaN;NaN;0.00520475;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187203;5.04;0.27;0.4075;NaN;NaN;NaN;NaN;NaN;NaN;0.005982593;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187204;5.18;0.2733;0.41;NaN;NaN;NaN;NaN;NaN;NaN;0.006011933;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187205;5.18;0.2767;0.4125;NaN;NaN;NaN;NaN;NaN;NaN;0.004940439;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187206;5.13;0.28;0.415;NaN;NaN;NaN;NaN;NaN;NaN;0.004058898;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187207;5.1;0.2833;0.4175;NaN;NaN;NaN;NaN;NaN;NaN;0.004389567;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187208;5.04;0.2867;0.42;NaN;NaN;NaN;NaN;NaN;NaN;0.00520475;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187209;4.95;0.29;0.4225;NaN;NaN;NaN;NaN;NaN;NaN;0.006994351;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187210;4.97;0.2933;0.425;NaN;NaN;NaN;NaN;NaN;NaN;0.007580409;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187211;4.95;0.2967;0.4275;NaN;NaN;NaN;NaN;NaN;NaN;0.008180762;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187212;5.07;0.3;0.43;NaN;NaN;NaN;NaN;NaN;NaN;0.007602379;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187301;5.11;0.3025;0.4325;NaN;NaN;NaN;NaN;NaN;NaN;0.006466605;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187302;5.15;0.305;0.435;NaN;NaN;NaN;NaN;NaN;NaN;0.006539919;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187303;5.11;0.3075;0.4375;NaN;NaN;NaN;NaN;NaN;NaN;0.007082281;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187304;5.04;0.31;0.44;NaN;NaN;NaN;NaN;NaN;NaN;0.008019727;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187305;5.05;0.3125;0.4425;NaN;NaN;NaN;NaN;NaN;NaN;0.005615761;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187306;4.98;0.315;0.445;NaN;NaN;NaN;NaN;NaN;NaN;0.004668713;NaN;NaN;NaN;NaN;NaN;NaN;NaN
187307;4.97;0.3175;0.4475;NaN;NaN;NaN;NaN;NaN;NaN;0.00438222;NaN;NaN;NaN;NaN;NaN;NaN;NaN
