date;rf
187101;0.0049551245
187102;0.0045144576
187103;0.0042426162
187104;0.0046319878
187105;0.0036913596
187106;0.0033678142
187107;0.0032501353
187108;0.0037060637
187109;0.0045438415
187110;0.0070163340
187111;0.0064666046
187112;0.0069503824
187201;0.0057478359
187202;0.0052047496
187203;0.0059825927
187204;0.0060119334
187205;0.0049404388
187206;0.0040588978
187207;0.0043895667
187208;0.0052047496
187209;0.0069943506
187210;0.0075804085
187211;0.0081807617
187212;0.0076023790
187301;0.0064666046
187302;0.0065399193
187303;0.0070822812
187304;0.0080197267
187305;0.0056157609
187306;0.0046687131
187307;0.0043822197
187308;0.0048376323
187309;0.0101257716
187310;0.0117461593
187311;0.0102864678
187312;0.0068477824
187401;0.0051166537
187402;0.0040588978
187403;0.0041617843
187404;0.0042426162
187405;0.0038089865
187406;0.0037354713
187407;0.0037722296
187408;0.0036472459
187409;0.0042426162
187410;0.0039192492
187411;0.0037795811
187412;0.0040588978
187501;0.0035075398
187502;0.0034634180
187503;0.0039854009
187504;0.0036472459
187505;0.0030000218
187506;0.0029926646
187507;0.0028160749
187508;0.0032795563
187509;0.0039780510
187510;0.0042867037
187511;0.0043454838
187512;0.0045071116
187601;0.0043822197
187602;0.0035663658
187603;0.0036104830
187604;0.0036913596
187605;0.0033604596
187606;0.0031397988
187607;0.0024480795
187608;0.0022934811
187609;0.0031397988
187610;0.0038163377
187611;0.0036472459
187612;0.0039707009
187701;0.0037281195
187702;0.0029558776
187703;0.0029117315
187704;0.0028675834
187705;0.0025879337
187706;0.0026320941
187707;0.0026909716
187708;0.0037942839
187709;0.0043381365
187710;0.0049771528
187711;0.0041985269
187712;0.0037795811
187801;0.0039486505
187802;0.0035516596
187803;0.0034119401
187804;0.0035884246
187805;0.0029779500
187806;0.0024480795
187807;0.0022934811
187808;0.0024480795
187809;0.0030441640
187810;0.0036545983
187811;0.0034119401
187812;0.0033678142
187901;0.0028307919
187902;0.0024480795
187903;0.0033678142
187904;0.0036545983
187905;0.0029117315
187906;0.0027719226
187907;0.0025143287
187908;0.0037354713
187909;0.0038971976
187910;0.0040148003
187911;0.0042426162
187912;0.0040221500
188001;0.0036031303
188002;0.0035516596
188003;0.0036913596
188004;0.0036913596
188005;0.0034634180
188006;0.0029926646
188007;0.0029117315
188008;0.0033457504
188009;0.0035075398
188010;0.0034119401
188011;0.0036472459
188012;0.0040588978
188101;0.0035075398
188102;0.0036031303
188103;0.0037281195
188104;0.0034634180
188105;0.0026320941
188106;0.0022198544
188107;0.0025879337
188108;0.0032869114
188109;0.0038310400
188110;0.0042426162
188111;0.0042793559
188112;0.0042426162
188201;0.0036913596
188202;0.0036693030
188203;0.0037942839
188204;0.0033678142
188205;0.0032133578
188206;0.0034119401
188207;0.0030441640
188208;0.0038016352
188209;0.0046099519
188210;0.0045511873
188211;0.0044263010
188212;0.0039707009
188301;0.0036913596
188302;0.0036031303
188303;0.0043381365
188304;0.0039192492
188305;0.0035810718
188306;0.0036913596
188307;0.0031618671
188308;0.0037722296
188309;0.0040588978
188310;0.0040588978
188311;0.0038310400
188312;0.0036913596
188401;0.0032427799
188402;0.0031397988
188403;0.0030441640
188404;0.0031177301
188405;0.0033678142
188406;0.0038751456
188407;0.0040221500
188408;0.0036913596
188409;0.0036913596
188410;0.0036913596
188411;0.0034634180
188412;0.0033236862
188501;0.0030956608
188502;0.0029558776
188503;0.0029338048
188504;0.0025658528
188505;0.0023523785
188506;0.0022566684
188507;0.0022198544
188508;0.0023523785
188509;0.0024039110
188510;0.0025879337
188511;0.0029117315
188512;0.0029558776
188601;0.0028160749
188602;0.0025143287
188603;0.0024922461
188604;0.0027719226
188605;0.0026320941
188606;0.0024775241
188607;0.0025437713
188608;0.0034634180
188609;0.0039192492
188610;0.0041029933
188611;0.0040001007
188612;0.0040368493
188701;0.0036913596
188702;0.0031839349
188703;0.0035810718
188704;0.0036031303
188705;0.0034781255
188706;0.0034192943
188707;0.0041985269
188708;0.0043160942
188709;0.0047495041
188710;0.0043381365
188711;0.0038751456
188712;0.0040588978
188801;0.0037648780
188802;0.0032133578
188803;0.0034854791
188804;0.0036178357
188805;0.0031912907
188806;0.0027719226
188807;0.0026468138
188808;0.0028528670
188809;0.0035295999
188810;0.0033751686
188811;0.0031397988
188812;0.0033016215
188901;0.0030662344
188902;0.0027719226
188903;0.0029558776
188904;0.0028013577
188905;0.0024775241
188906;0.0024996070
188907;0.0028822997
188908;0.0034413564
188909;0.0035295999
188910;0.0040588978
188911;0.0040588978
188912;0.0041250403
189001;0.0035810718
189002;0.0033457504
189003;0.0036913596
189004;0.0034045859
189005;0.0033678142
189006;0.0033236862
189007;0.0033604596
189008;0.0037575264
189009;0.0038751456
189010;0.0039854009
189011;0.0046099519
189012;0.0050358924
189101;0.0039339499
189102;0.0033236862
189103;0.0035075398
189104;0.0033825230
189105;0.0036031303
189106;0.0036913596
189107;0.0037648780
189108;0.0038751456
189109;0.0038971976
189110;0.0037501748
189111;0.0033678142
189112;0.0031986465
189201;0.0027056905
189202;0.0023597405
189203;0.0025732131
189204;0.0021977653
189205;0.0019694830
189206;0.0018148105
189207;0.0021977653
189208;0.0025584923
189209;0.0031103737
189210;0.0034413564
189211;0.0034266484
189212;0.0036913596
189301;0.0033972317
189302;0.0033016215
189303;0.0046466781
189304;0.0038751456
189305;0.0045658788
189306;0.0058725573
189307;0.0076389955
189308;0.0074339263
189309;0.0057331617
189310;0.0039927509
189311;0.0028675834
189312;0.0023376545
189401;0.0022051284
189402;0.0020725847
189403;0.0018737362
189404;0.0019252933
189405;0.0018000786
189406;0.0017853464
189407;0.0018516395
189408;0.0019031977
189409;0.0020578565
189410;0.0016748482
189411;0.0016969488
189412;0.0017632477
189501;0.0019252933
189502;0.0023082058
189503;0.0025216894
189504;0.0025658528
189505;0.0016822151
189506;0.0015717055
189507;0.0018074446
189508;0.0021977653
189509;0.0026100142
189510;0.0031618671
189511;0.0026836121
189512;0.0031397988
189601;0.0040588978
189602;0.0039192492
189603;0.0034854791
189604;0.0035222466
189605;0.0029779500
189606;0.0027719226
189607;0.0033604596
189608;0.0053882577
189609;0.0057478359
189610;0.0057918570
189611;0.0035737188
189612;0.0023891877
189701;0.0020799487
189702;0.0018516395
189703;0.0020946765
189704;0.0022419429
189705;0.0022419429
189706;0.0019400234
189707;0.0021462222
189708;0.0023818260
189709;0.0026615333
189710;0.0027277683
189711;0.0021314951
189712;0.0021609491
189801;0.0020357639
189802;0.0019400234
189803;0.0030662344
189804;0.0038751456
189805;0.0030662344
189806;0.0020283995
189807;0.0023376545
189808;0.0023229302
189809;0.0026688930
189810;0.0021535857
189811;0.0020725847
189812;0.0018737362
189901;0.0017779802
189902;0.0018884671
189903;0.0024848851
189904;0.0023597405
189905;0.0022934811
189906;0.0020799487
189907;0.0023376545
189908;0.0028455087
189909;0.0032795563
189910;0.0034634180
189911;0.0036325409
189912;0.0039707009
190001;0.0032722012
190002;0.0028822997
190003;0.0032354245
